Month,bitcoin: (Worldwide)
2018-01,80
2018-02,59
2018-03,34
2018-04,26
2018-05,21
2018-06,19
2018-07,19
2018-08,18
2018-09,17
2018-10,14
2018-11,20
2018-12,19
2019-01,14
2019-02,14
2019-03,13
2019-04,18
2019-05,25
2019-06,30
2019-07,27
2019-08,23
2019-09,18
2019-10,18
2019-11,16
2019-12,16
2020-01,19
2020-02,20
2020-03,28
2020-04,22
2020-05,30
2020-06,21
2020-07,21
2020-08,23
2020-09,18
2020-10,20
2020-11,34
2020-12,45
2021-01,93
2021-02,100
2021-03,70
2021-04,73
2021-05,98
2021-06,67
2021-07,45
2021-08,46
2021-09,44
2021-10,53
2021-11,48
2021-12,49
2022-01,62
2022-02,50
2022-03,43
2022-04,34
2022-05,54
2022-06,60
2022-07,43
2022-08,32
2022-09,31
2022-10,24
2022-11,38
2022-12,26
2023-01,30
2023-02,28
2023-03,33
2023-04,29
2023-05,26
2023-06,26
2023-07,26
2023-08,25
2023-09,22
2023-10,27
2023-11,29
2023-12,35
2024-01,40
2024-02,36
2024-03,60
2024-04,45
2024-05,32
2024-06,28
2024-07,31
2024-08,33
2024-09,27
2024-10,26
2024-11,66
2024-12,57
